t	step	xbase	ybase	xbouchon	ybouchon	theta
s		m	m	m	m	rad
0	0	0,6464927523	0,03498918743	0,565437897	0,1454967632	-0,632842783859845
0,029	1	0,6445909364	0,03441864265	0,5646308945	0,1452277624	-0,625077069163112
0,059	2	0,644781118	0,03460882424	0,5635548912	0,1463037657	-0,628758469746236
0,102	3	0,6436400284	0,03517936903	0,5627478886	0,1463037657	-0,629234030190837
0,131	4	0,6426891204	0,03498918743	0,5616718853	0,1460347649	-0,630307253954176
0,161	5	0,6417382124	0,03555973222	0,5613104154	0,1466236712	-0,626755812924308
0,19	6	0,6407873044	0,03594009542	0,5600298593	0,1464102452	-0,631252020367967
0,233	7	0,6394560333	0,03536955063	0,5593895813	0,1466236712	-0,623806863605527
0,262	8	0,6383149437	0,03555973222	0,5581090252	0,1474773753	-0,62181410056913
0,292	9	0,6360327645	0,03517936903	0,5574687472	0,1483310794	-0,606906814119158
0,321	10	0,6347014934	0,03517936903	0,5568284691	0,1485445054	-0,601894860597959
0,364	11	0,6335604038	0,03517936903	0,555761339	0,1493982094	-0,597956047776215
0,394	12	0,6327996774	0,03517936903	0,5538405049	0,1502519135	-0,601382737506794
0,423	13	0,631088043	0,03517936903	0,5525599488	0,1506787655	-0,597108597100149
0,453	14	0,6286156823	0,03479900584	0,5519196708	0,1517458956	-0,580455150130845
0,496	15	0,6278549559	0,03555973222	0,5506391147	0,1523861736	-0,584030916280632
0,525	16	0,6274745927	0,03555973222	0,5495719847	0,1530264517	-0,585590955332962
0,555	17	0,624051324	0,03632045861	0,5480780026	0,1549472858	-0,569625012169511
0,584	18	0,6208182368	0,03708118499	0,5470108725	0,1555875638	-0,557025405193864
0,627	19	0,6189164209	0,03765172978	0,5457303164	0,1566546939	-0,551371584316431
0,657	20	0,6149226074	0,03860263776	0,5442363343	0,159215806	-0,530104708643159
0,686	21	0,6137011555	0,03999382175	0,5425289262	0,1604963621	-0,533500160711555
0,716	22	0,6098014967	0,04053170573	0,5412483701	0,1619903442	-0,513843295005943
0,759	23	0,6071120768	0,0414730027	0,538900684	0,1641246044	-0,507544567871282
0,789	24	0,602540063	0,0414730027	0,5380469799	0,1658320125	-0,478419817836027
0,818	25	0,5995817011	0,04174194469	0,5363395718	0,1673259946	-0,466510767214982
0,848	26	0,5956820422	0,04308665464	0,5352724418	0,1694602547	-0,445912669505989
0,891	27	0,5913789704	0,04322112564	0,5331381816	0,1713810888	-0,426538638194857
0,921	28	0,5881516665	0,04483477758	0,5316441995	0,1733019229	-0,414388979261451
0,95	29	0,5833107106	0,04550713255	0,5295099394	0,1760764611	-0,390848854894648
0,98	30	0,5791421098	0,04671737151	0,5280159573	0,1779972952	-0,371373213401457
1,023	31	0,574301154	0,04846549445	0,5265219752	0,1799181293	-0,3486246635755
1,052	32	0,5705359661	0,04994467539	0,5246011411	0,1820523895	-0,33463092347763
1,082	33	0,5654260683	0,05061703037	0,522893733	0,1850403537	-0,306439319123663
1,111	34	0,5623332354	0,05276856629	0,5216131769	0,1871746138	-0,294172915462198
1,154	35	0,5564165116	0,05424774724	0,5199057688	0,189949152	-0,26282809534691
1,184	36	0,5496929619	0,05626481217	0,5181983607	0,1925102641	-0,227170541889894
1,213	37	0,544583064	0,05881976107	0,5164909526	0,1952848023	-0,203019681818979
1,243	38	0,5393386952	0,060836826	0,5145701185	0,1978459145	-0,178848877233458
1,286	39	0,5332875005	0,0635262459	0,5130761364	0,2006204527	-0,146372453370318
1,315	40	0,5288499576	0,06621566581	0,5115821543	0,2044621209	-0,124262379663749
1,345	41	0,5234711178	0,06863614372	0,5107284502	0,206809807	-0,091961994879007
1,374	42	0,517688865	0,07159450561	0,5098747462	0,2100111972	-0,05639372917689
1,417	43	0,5121755542	0,07441839651	0,5090210421	0,2127857354	-0,022794149060235
1,447	44	0,5070656564	0,07683887442	0,507953912	0,2149199956	0,00643276459688
1,476	45	0,5015523456	0,0802006493	0,507313634	0,2166274037	0,042204824555117
1,506	46	0,4950977378	0,08383136617	0,506673356	0,2198287939	0,084911787650606
1,549	47	0,4872984201	0,08692419906	0,507100208	0,2236704621	0,143807188724005
1,579	48	0,4794991024	0,09176515488	0,5090210421	0,2255912962	0,2171217705381
1,608	49	0,4695482488	0,09647163971	0,5100881722	0,2292195385	0,296394677029237
1,638	50	0,4644233914	0,09940956016	0,5109418762	0,2309269466	0,339972529477238
