t	x bouchon	y bouchon	x CM	y CM	x base	y base
0	0,8702993412	0,5531442177	0,7698643402	0,3310057673	0,7393535011	0,268766888
0,043	0,8751491872	0,5531442177	0,7642535006	0,3372400335	0,7296538092	0,2762621045
0,072	0,879558138	0,549617057	0,7592660877	0,3440977264	0,723481278	0,2837573209
0,102	0,8852897741	0,5482943717	0,7542786747	0,3553194056	0,712899796	0,2925752226
0,131	0,889698725	0,544326316	0,750538115	0,3609302452	0,702318314	0,3018340194
0,174	0,894989466	0,5412400504	0,7461741286	0,3665410848	0,697468468	0,3071247604
0,204	0,9020437873	0,5381537848	0,7399398624	0,3715284977	0,6877687762	0,3159426621
0,233	0,9064527382	0,5324221487	0,735575876	0,3758924841	0,6807144548	0,326083249
0,263	0,9090981087	0,528894988	0,7287181832	0,3821267503	0,6736601335	0,3349011507
0,306	0,9139479546	0,5196361912	0,7243541968	0,3864907367	0,6666058121	0,3437190524
0,336	0,9165933251	0,5103773944	0,7168730774	0,3914781497	0,6604332809	0,3476871082
0,365	0,9187978006	0,5024412829	0,7106388112	0,3964655626	0,6507335891	0,3613548558
0,395	0,9218840662	0,4918598009	0,7087685313	0,4039466821	0,6432383726	0,3732590231
0,438	0,9236476465	0,482160109	0,7012874118	0,4076872418	0,6379476316	0,3816360297
0,468	0,9258521219	0,4706968368	0,7019108384	0,4126746548	0,6330977857	0,3908948265
0,497	0,9267339121	0,4583517745	0,6956765722	0,4182854944	0,6291297299	0,4001536233
0,527	0,9232067514	0,4442431317	0,6931828657	0,4245197606	0,6227780851	0,4107351053
0,57	0,9183569055	0,4332207546	0,6875720261	0,4276368937	0,6153173136	0,4221225987
0,599	0,9161524301	0,419553007	0,6832080398	0,4313774535	0,6117832639	0,4287980258
0,629	0,9086572136	0,4063261545	0,6763503469	0,4388585729	0,6082492143	0,4390075026
0,658	0,9029255775	0,3917766167	0,6732332138	0,4413522794	0,6047151646	0,4472536185
0,701	0,8963121512	0,3807542395	0,6669989476	0,4450928391	0,6007884428	0,4570704231
0,73	0,8892578299	0,3657638067	0,6657520944	0,446963119	0,599217754	0,4641385224
0,76	0,8808808233	0,3538596394	0,6607646814	0,4507036787	0,599217754	0,4727773105
0,789	0,8702993412	0,3397509967	0,6557772684	0,451950532	0,5976470653	0,4767040324
0,832	0,858395174	0,3296104097	0,6520367087	0,4538208118	0,5960763765	0,4837721317
0,861	0,8451683214	0,3185880326	0,6470492957	0,4581847982	0,5933276712	0,4880915257
0,891	0,832382364	0,3075656555	0,6389447496	0,4619253579	0,5909716381	0,4935889363
0,92	0,8151874557	0,2969841735	0,6327104834	0,4656659177	0,5901862938	0,4979083303
0,963	0,801519708	0,2864026914	0,6252293639	0,4681596242	0,5897936216	0,50144238
0,993	0,7896155407	0,2753803143	0,6196185243	0,4712767573	0,5874375885	0,5073324628
1,022	0,7706570521	0,2656806224	0,615254538	0,4731470371	0,5858668997	0,5116518568
1,052	0,7574301996	0,2590671962	0,6121374049	0,475017317	0,5839035388	0,5167565952
1,095	0,7375899208	0,2506901896	0,6090202718	0,4775110235	0,5831181944	0,5198979727
1,125	0,7186314321	0,2445176584	0,6034094322	0,4787578767	0,5819401779	0,522646678
1,154	0,702318314	0,237463337	0,5984220192	0,4806281566	0,5803694891	0,5246100389
1,184	0,6829189302	0,2317317009	0,5928111796	0,4818750098	0,5787988004	0,5273587442
1,227	0,6617559662	0,2277636452	0,5890706199	0,4818750098	0,5772281117	0,5301074495
1,257	0,6436792677	0,2224729041	0,5828363537	0,4843687163	0,5764427673	0,5305001217
1,286	0,6211936184	0,2207093238	0,5778489407	0,4849921429	0,5768354395	0,5305001217
1,316	0,6004715494	0,2185048484	0,5772255141	0,4849921429	0,5768354395	0,5324634826
1,359	0,584296211	0,2179330626	0,5728615277	0,4849921429	0,5764427673	0,531285466
1,388	0,5623065686	0,216755046	0,5703678212	0,4849921429	0,5764427673	0,5308927939
1,418	0,5403169263	0,2198964235	0,569120968	0,4849921429	0,578013456	0,5281440886
1,447	0,5206833171	0,22107444	0,5684975413	0,4849921429	0,5784061282	0,5261807276
1,49	0,5010497078	0,2250011619	0,564133555	0,4831218631	0,5787988004	0,5230393502
1,519	0,4810234264	0,2285352116	0,5610164219	0,4824984365	0,5787988004	0,5222540058
1,549	0,4621751615	0,2312839169	0,5566524355	0,4719001839	0,579976817	0,5179346118
1,578	0,442190214	0,2361406518	0,5510415959	0,465042491	0,5791914726	0,5128298734
1,621	0,4227908303	0,2418722879	0,546054183	0,4613019313	0,5803694891	0,507725135
1,65	0,4060368171	0,2471630289	0,5398199167	0,4563145183	0,5803694891	0,5010497078
1,68	0,3892828038	0,2555400355	0,536079357	0,4488333989	0,5823328501	0,4931962641
1,709	0,3712061054	0,263476147	0,5335856505	0,446963119	0,5819401779	0,4869135092
1,752	0,3548929872	0,2718531536	0,5292216642	0,4450928391	0,5795841448	0,4814160986
1,782	0,3421070298	0,2784665799	0,5236108246	0,4407288528	0,5764427673	0,4739553271
1,811	0,3249121215	0,289488957	0,5204936915	0,4369882931	0,5744794064	0,4661018834
1,841	0,3125670591	0,2978659636	0,5161297051	0,4320008801	0,5705526845	0,4602118006
1,884	0,2988993115	0,3058020751	0,513012572	0,4282603203	0,5697673402	0,4527510291
1,913	0,2883178294	0,3141790818	0,5092720123	0,4226494807	0,5670186349	0,4405781914
1,943	0,2752632015	0,3259179134	0,5024143194	0,4164152145	0,5654479461	0,4303687145
1,972	0,2662317413	0,335734718	0,5049080259	0,4076872418	0,5611285521	0,4221225987
2,015	0,2564149367	0,3451588504	0,4992971863	0,3983358425	0,5572018302	0,4126984662
2,045	0,2493468374	0,3553683272	0,4955566266	0,3945952828	0,5536677806	0,4040596782
2,074	0,2399227049	0,3659704762	0,4893223604	0,3864907367	0,5497410587	0,3918868404
2,104	0,2328546056	0,376179953	0,484958374	0,3796330438	0,5454216647	0,3820700358
2,147	0,2281425394	0,3840333967	0,4818412409	0,3733987776	0,5391389097	0,371860559
2,177	0,2242158175	0,3938502014	0,4781006812	0,3665410848	0,5344268435	0,3616510822
